NOMREG;NOMDEP;FERME;ANNREOUV;NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE
ALSACE;HAUT-RHIN;NON;;Ecomusée d'Alsace;B.P. 71;68190;UNGERSHEIM;www.ecomusee-alsace.com;;sept-18
AQUITAINE;DORDOGNE;NON;;Musée d'Anthropologie du Tabac d'Intérêt National;Maison Peyrarède Place du Feu;24100;BERGERAC;http://www.bergerac.fr/EspCulture/sitetabac/index.htm;;10-12:30,13:30-18
AQUITAINE;DORDOGNE;NON;;Château de Bourdeilles;Bourdeilles;24310;BOURDEILLES;Site des musées aquitains;;13-18
AQUITAINE;DORDOGNE;NON;;Musée Fernand Desmoulin;Boulevard Charlemagne;24310;BRANTOME;Site des musées aquitains ou http://www.perigord-dronne-belle.fr;24/12,25/12;9-12,14-17
AQUITAINE;DORDOGNE;OUI;;Musée-Aquarium;Site Bella-Riva;24100;CREYSSE;;11/11,01/12-01/04;
AQUITAINE;DORDOGNE;NON;;Musée Paul Reclus;Place de la Halle;24250;DOMME;;24/12,25/12,11/11;10-12,14-18
AQUITAINE;DORDOGNE;NON;;Musée National de la Préhistoire;B.P. 7;24620;LES EYZIES-DE-TAYAC;www.musee-prehistoire-eyzies.fr;;
AQUITAINE;DORDOGNE;OUI;;Musée Eugène Le Roy et des Vieux Métiers;Place Bertran de Borne;24290;MONTIGNAC;;01/11-01/04;9-12,14-17
AQUITAINE;DORDOGNE;NON;;Musée des Arts et Traditions Populaires du Périgord;2, Rue Raoul Grassin;24400;MUSSIDAN;www.museevoulgre.cjb.net;;
AQUITAINE;DORDOGNE;OUI;;Musée Départemental de la Poupée et du Jouet;Avenue du Général Leclerc;24300;NONTRON;Site des musées aquitains;11/11,01/12-01/04;10-12,14-18
AQUITAINE;DORDOGNE;NON;;Musée Militaire - Souvenir du Périgord;32, Rue des Farges;24000;PERIGUEUX;;11/11,01/12-01/04;10-12:30,13:30-18
AQUITAINE;DORDOGNE;NON;;Musée d'Art et d'Archéologie du Périgord (MAAP);22, Cours Tourny;24000;PERIGUEUX;http://www.perigueux-maap.fr/;;sept-18
